date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:52	29331/29331	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:33:50%20GMT	http://www.radprocalculator.com/Bremsstrahlung.aspx	E:/My%20Web/2/www.radprocalculator.com/Bremsstrahlung.html	(from http://www.radprocalculator.com/)
19:33:53	23736/23736	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:33:52%20GMT	http://www.radprocalculator.com/InverseSquare.aspx	E:/My%20Web/2/www.radprocalculator.com/InverseSquare.html	(from http://www.radprocalculator.com/)
19:33:53	28856/28856	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:33:52%20GMT	http://www.radprocalculator.com/ScalerMDC.aspx	E:/My%20Web/2/www.radprocalculator.com/ScalerMDC.html	(from http://www.radprocalculator.com/)
19:33:54	24007/24007	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:33:54%20GMT	http://www.radprocalculator.com/ScanMDC.aspx	E:/My%20Web/2/www.radprocalculator.com/ScanMDC.html	(from http://www.radprocalculator.com/)
19:33:56	29593/29593	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:33:54%20GMT	http://www.radprocalculator.com/ALARA.aspx	E:/My%20Web/2/www.radprocalculator.com/ALARA.html	(from http://www.radprocalculator.com/)
19:33:56	25293/25293	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:33:56%20GMT	http://www.radprocalculator.com/RadProDownloads.aspx	E:/My%20Web/2/www.radprocalculator.com/RadProDownloads.html	(from http://www.radprocalculator.com/)
19:33:57	25091/25091	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:33:56%20GMT	http://www.radprocalculator.com/RadProPDA.aspx	E:/My%20Web/2/www.radprocalculator.com/RadProPDA.html	(from http://www.radprocalculator.com/)
19:33:59	37450/37450	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:33:58%20GMT	http://www.radprocalculator.com/Probability.aspx	E:/My%20Web/2/www.radprocalculator.com/Probability.html	(from http://www.radprocalculator.com/)
19:33:59	15354/15354	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20May%202023%2011:33:58%20GMT	http://www.radprocalculator.com/Geoconvert.aspx	E:/My%20Web/2/www.radprocalculator.com/Geoconvert.html	(from http://www.radprocalculator.com/)
19:34:00	10966/10966	---M--	200	added ('OK')	text/html	etag:%22fd392a4abddcd41:0%22	http://www.radprocalculator.com/sitemap.htm	E:/My%20Web/2/www.radprocalculator.com/sitemap.html	(from http://www.radprocalculator.com/)
